[INFO] [AnimationBootstrapper] NEWSCRIPTS_MODE ativo: AnimationBootstrapper ignorado.

NEWSCRIPTS_MODE ativo: DebugUtility.Initialize executando reset de estado.

<color=#A8DEED>[INFO] [DebugUtility] [OBS][RuntimeMode] LoggingPolicyApplied source='EarlyDefault' key='Editor|Enabled|global=True;verbose=True;default=Logs;repeated=True|fallbacks=True|EarlyDefault'</color>

[INFO] [DebugUtility] DebugUtility inicializado antes de todos os sistemas.

[INFO] [CompassRuntimeService] NEWSCRIPTS_MODE ativo: CompassRuntimeService ignorado.

<color=#A8DEED>[INFO] [DebugUtility] [OBS][RuntimeMode] LoggingPolicyApplied source='BootstrapPolicy' key='Editor|Enabled|global=True;verbose=True;default=Verbose;repeated=True|fallbacks=True|BootstrapPolicy'</color>

[VERBOSE] [GlobalCompositionRoot] NewScripts logging configured. (@ 3,49s)

<color=#00BCD4>[VERBOSE] [SceneServiceCleaner] SceneServiceCleaner inicializado. (@ 3,50s)</color>

<color=#00BCD4>[VERBOSE] [DependencyManager] DependencyManager inicializado (DontDestroyOnLoad). (@ 3,50s)</color>

[VERBOSE] [GlobalCompositionRoot] DependencyManager created for global scope. (@ 3,50s)

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] Plan=StringsToDirectRefs v1 (@ 3,50s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] Plan=DataCleanup v1 (post StringsToDirectRefs v1) (@ 3,50s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [OBS][Config] DataCleanupV1Anchor snapshot='SceneFlow-Config-Snapshot-DataCleanup-v1.md' (@ 3,50s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [EventBus] EventBus inicializado (GameLoop + SceneFlow + WorldLifecycle). (@ 3,50s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço RuntimeModeConfig registrado no escopo global. (@ 3,50s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [RuntimePolicy] RuntimeModeConfig carregado (asset='RuntimeModeConfig'). (@ 3,51s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IRuntimeModeProvider registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IRuntimeModeProvider. (@ 3,51s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IRuntimeModeProvider encontrado no escopo global (tipo registrado: IRuntimeModeProvider). (@ 3,51s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IDegradedModeReporter registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IDegradedModeReporter. (@ 3,51s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IDegradedModeReporter encontrado no escopo global (tipo registrado: IDegradedModeReporter). (@ 3,51s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IWorldResetPolicy registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IWorldResetPolicy. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [RuntimePolicy] IRuntimeModeProvider + IDegradedModeReporter + IWorldResetPolicy registrados no DI global. (@ 3,51s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço RuntimeModeConfig encontrado no escopo global (tipo registrado: RuntimeModeConfig). (@ 3,51s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IInputModeService registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [InputMode] IInputModeService registrado no DI global (playerMap='Player', menuMap='UI'). (@ 3,51s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IUniqueIdFactory registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: IUniqueIdFactory. (@ 3,51s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço ISimulationGateService registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] Registered global service: ISimulationGateService. (@ 3,51s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço ISimulationGateService encontrado no escopo global (tipo registrado: ISimulationGateService). (@ 3,51s)

[VERBOSE] [GamePauseGateBridge] [PauseBridge] Registrado nos eventos GamePauseCommandEvent/GameResumeRequestedEvent -> SimulationGate. (@ 3,51s)

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço GamePauseGateBridge registrado no escopo global. (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [Pause] GamePauseGateBridge registrado (EventBus → SimulationGate). (@ 3,51s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IGameLoopService registrado no escopo global. (@ 3,51s)</color>

[VERBOSE] [GameLoopService] [GameLoop] ENTER: Boot (active=False) (@ 3,51s)

[VERBOSE] [GameLoopService] [GameLoop] Initialized. (@ 3,51s)

<color=#A8DEED>[VERBOSE] [GameLoopCommandEventBridge] [GameLoop] Bridge de entrada registrado no EventBus (pause/resume). (@ 3,51s)</color>

<color=#A8DEED>[VERBOSE] [GameLoopCommandEventBridge] [OBS][LEGACY] GameResetRequestedEvent listener disabled in GameLoopCommandEventBridge; MacroRestartCoordinator owns canonical restart. (@ 3,51s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço GameLoopCommandEventBridge registrado no escopo global. (@ 3,51s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameLoopService encontrado no escopo global (tipo registrado: IGameLoopService). (@ 3,51s)

<color=#A8DEED>[VERBOSE] [GlobalCompositionRoot] [GameLoop] GameLoopBootstrap.EnsureRegistered() executado (serviÃ§o + bridge no escopo global). (@ 3,51s)</color>

<color=#4CAF50>[VERBOSE] [GlobalServiceRegistry] Serviço IIntroStageCoordinator registrado no escopo global. (@ 3,51s)</color>

